reason_1,reason_2,reason_3,reason_4,month_value,transportation_expense,age,body_mass_index,education,children,pets,probability,prediction
0,0,0,1,10,225,28,24,0,1,2,0.290263,0
0,0,0,1,10,248,47,32,0,2,1,0.471905,0
0,0,0,1,10,291,40,25,0,1,1,0.423798,0
0,0,0,1,10,179,38,31,0,0,0,0.277409,0
0,0,0,1,10,225,28,24,0,1,2,0.290263,0
0,0,1,0,10,260,36,23,0,4,0,0.944762,1
1,0,0,0,10,291,40,25,0,1,1,0.83943,1
0,0,0,1,10,225,28,24,0,1,2,0.290263,0
0,0,0,1,10,289,33,30,0,2,1,0.623282,1
0,0,0,1,10,361,28,27,0,1,4,0.517361,1
0,0,0,1,10,260,36,23,0,4,0,0.637082,1
0,0,0,1,11,179,38,31,0,0,0,0.286596,0
0,0,0,1,11,225,28,24,0,1,2,0.299699,0
1,0,0,0,11,179,38,31,0,0,0,0.740625,1
0,0,1,0,11,179,40,22,1,2,0,0.756784,1
0,0,0,1,11,291,40,25,0,1,1,0.434915,0
1,0,0,0,11,155,34,25,0,2,0,0.762861,1
0,0,0,1,11,189,33,25,0,2,2,0.282588,0
1,0,0,0,11,291,40,25,0,1,1,0.845453,1
0,0,0,1,11,225,28,24,0,1,2,0.299699,0
1,0,0,0,11,155,34,25,0,2,0,0.762861,1
0,0,0,1,11,225,28,24,0,1,2,0.299699,0
0,0,1,0,11,179,40,22,1,2,0,0.756784,1
1,0,0,0,11,225,28,24,0,1,2,0.752588,1
0,0,0,1,11,260,36,23,0,4,0,0.647507,1
0,0,0,1,11,248,47,32,0,2,1,0.483226,0
0,0,0,1,11,225,28,24,0,1,2,0.299699,0
1,0,0,0,11,289,33,30,0,2,1,0.924845,1
0,0,0,1,11,291,40,25,0,1,1,0.434915,0
0,0,0,1,12,248,47,32,0,2,1,0.494563,0
0,0,1,0,12,118,37,28,0,0,0,0.664181,1
0,0,0,1,12,118,50,31,0,1,0,0.193059,0
0,0,0,1,12,235,37,29,1,1,1,0.355421,0
0,0,0,1,12,225,28,24,0,1,2,0.309308,0
0,0,0,1,12,260,36,23,0,4,0,0.657793,1
0,0,1,0,12,118,37,28,0,0,0,0.664181,1
0,0,0,1,12,361,28,27,0,1,4,0.539971,1
0,0,0,1,12,225,28,24,0,1,2,0.309308,0
0,0,0,1,12,260,36,23,0,4,0,0.657793,1
0,0,0,1,12,225,28,24,0,1,2,0.309308,0
0,0,0,1,12,361,28,27,0,1,4,0.539971,1
0,0,0,1,12,118,37,28,0,0,0,0.168742,0
0,0,1,0,12,246,41,23,0,0,0,0.804631,1
0,0,0,1,12,225,28,24,0,1,2,0.309308,0
0,0,0,1,1,225,28,24,0,1,2,0.213746,0
0,0,1,0,1,118,37,28,0,0,0,0.545584,1
0,0,0,1,1,118,37,28,0,0,0,0.10971,0
0,0,1,0,1,155,34,25,0,2,0,0.736921,1
0,0,0,1,1,225,28,24,0,1,2,0.213746,0
0,0,0,1,1,184,27,21,0,0,0,0.156432,0
0,0,0,1,1,225,28,24,0,1,2,0.213746,0
0,0,0,1,1,225,28,24,0,1,2,0.213746,0
0,0,0,1,1,118,37,28,0,0,0,0.10971,0
0,0,0,1,1,225,28,24,0,1,2,0.213746,0
0,0,0,1,1,118,37,28,0,0,0,0.10971,0
0,0,0,1,1,118,37,28,0,0,0,0.10971,0
0,0,0,1,1,118,37,28,0,0,0,0.10971,0
0,0,0,1,1,118,37,28,0,0,0,0.10971,0
0,0,0,1,1,118,37,28,0,0,0,0.10971,0
0,0,0,1,1,118,37,28,0,0,0,0.10971,0
0,0,1,0,1,179,30,19,1,0,0,0.530898,1
0,0,1,0,1,289,33,30,0,2,1,0.914641,1
0,0,0,1,1,118,37,28,0,0,0,0.10971,0
0,0,0,1,1,184,27,21,0,0,0,0.156432,0
0,0,0,1,1,118,37,28,0,0,0,0.10971,0
0,0,0,1,1,118,37,28,0,0,0,0.10971,0
0,0,0,1,1,225,28,24,0,1,2,0.213746,0
0,0,0,1,1,289,33,30,0,2,1,0.523761,1
0,0,0,1,2,184,27,21,0,0,0,0.162514,0
1,0,0,0,2,246,41,23,0,0,0,0.656194,1
1,0,0,0,2,179,38,31,0,0,0,0.654943,1
0,0,0,1,2,155,34,25,0,2,0,0.231271,0
0,0,0,1,2,189,33,25,0,2,2,0.207503,0
0,0,0,1,2,260,36,23,0,4,0,0.549763,1
0,0,0,1,2,289,33,30,0,2,1,0.535066,1
1,0,0,0,2,388,50,24,0,0,0,0.854381,1
1,0,0,0,2,388,50,24,0,0,0,0.854381,1
0,0,0,1,2,225,28,24,0,1,2,0.221471,0
0,0,0,1,2,225,28,24,0,1,2,0.221471,0
0,0,0,1,2,179,30,19,1,0,0,0.108377,0
0,0,0,1,2,184,27,21,0,0,0,0.162514,0
0,0,0,1,2,225,28,24,0,1,2,0.221471,0
0,0,1,0,2,330,28,25,1,0,0,0.880436,1
0,0,0,1,2,330,28,25,1,0,0,0.430458,0
0,0,0,1,2,225,28,24,0,1,2,0.221471,0
0,0,1,0,2,189,33,25,0,2,2,0.718394,1
0,0,0,1,3,291,32,23,0,0,0,0.350114,0
0,0,1,0,3,260,36,23,0,4,0,0.925645,1
0,0,1,0,3,157,29,22,0,0,0,0.610204,1
0,1,0,0,3,179,40,22,1,2,0,0.199161,0
0,0,0,1,3,291,40,25,0,1,1,0.348683,0
1,0,0,0,3,260,36,23,0,4,0,0.900813,1
1,0,0,0,3,179,30,19,1,0,0,0.474808,0
1,0,0,0,3,248,47,32,0,2,1,0.822162,1
1,0,0,0,3,260,36,23,0,4,0,0.900813,1
1,0,0,0,3,179,40,22,1,2,0,0.612246,1
1,0,0,0,3,155,34,25,0,2,0,0.691133,1
0,0,0,1,3,260,36,23,0,4,0,0.560967,1
1,0,0,0,3,155,34,25,0,2,0,0.691133,1
1,0,0,0,3,289,33,30,0,2,1,0.895394,1
1,0,0,0,3,179,40,22,1,2,0,0.612246,1
0,0,0,1,3,260,36,23,0,4,0,0.560967,1
0,0,0,1,3,225,28,24,0,1,2,0.229393,0
1,0,0,0,3,279,39,24,0,2,0,0.850559,1
1,0,0,0,3,179,38,31,0,0,0,0.665124,1
0,0,0,1,3,225,28,24,0,1,2,0.229393,0
1,0,0,0,3,225,28,24,0,1,2,0.67906,1
1,0,0,0,3,179,30,19,1,0,0,0.474808,0
1,0,0,0,3,225,28,24,0,1,2,0.67906,1
1,0,0,0,3,225,28,24,0,1,2,0.67906,1
1,0,0,0,3,179,38,31,0,0,0,0.665124,1
1,0,0,0,3,279,39,24,0,2,0,0.850559,1
0,0,0,1,3,225,28,24,0,1,2,0.229393,0
1,0,0,0,3,248,47,32,0,2,1,0.822162,1
0,0,0,1,3,225,28,24,0,1,2,0.229393,0
0,0,0,1,4,291,40,25,0,1,1,0.359058,0
0,0,0,1,4,225,28,24,0,1,2,0.237513,0
0,0,0,1,4,155,34,25,0,2,0,0.247797,0
1,0,0,0,4,246,41,23,0,0,0,0.676368,1
0,0,0,1,4,155,34,25,0,2,0,0.247797,0
0,0,0,1,4,225,28,24,0,1,2,0.237513,0
0,0,0,1,4,260,36,23,0,4,0,0.57211,1
1,0,0,0,4,179,38,31,0,0,0,0.675154,1
0,0,0,1,4,118,50,31,0,1,0,0.142673,0
0,0,0,1,4,291,40,25,0,1,1,0.359058,0
1,0,0,0,4,246,41,23,0,0,0,0.676368,1
0,0,0,1,4,291,40,25,0,1,1,0.359058,0
0,0,0,1,4,248,47,32,0,2,1,0.40498,0
0,0,1,0,4,260,36,23,0,4,0,0.928708,1
0,0,1,0,4,289,33,30,0,2,1,0.924687,1
1,0,0,0,4,155,34,25,0,2,0,0.700735,1
0,0,1,0,4,378,36,21,0,2,4,0.873726,1
1,0,0,0,4,289,33,30,0,2,1,0.899569,1
1,0,0,0,4,235,37,29,1,1,1,0.731627,1
0,0,0,0,4,235,48,33,0,1,5,0.0711664,0
1,0,0,0,5,289,33,30,0,2,1,0.903594,1
0,0,0,1,5,155,34,25,0,2,0,0.256351,0
0,0,0,1,5,155,34,25,0,2,0,0.256351,0
0,0,1,0,5,179,38,31,0,0,0,0.748819,1
0,0,1,0,5,225,28,24,0,1,2,0.760526,1
1,0,0,0,5,184,27,21,0,0,0,0.612464,1
0,0,0,1,5,155,34,25,0,2,0,0.256351,0
1,0,0,0,5,179,38,31,0,0,0,0.685026,1
1,0,0,0,5,289,33,30,0,2,1,0.903594,1
0,0,0,0,5,279,39,24,0,2,0,0.274791,0
0,0,0,0,5,330,28,25,1,0,0,0.272325,0
0,0,0,0,5,378,36,21,0,2,4,0.243081,0
0,0,0,0,5,388,50,24,0,0,0,0.290144,0
1,0,0,0,5,179,38,31,0,0,0,0.685026,1
1,0,0,0,5,118,50,31,0,1,0,0.553126,1
0,0,0,1,5,361,28,27,0,1,4,0.460729,0
0,0,1,0,6,246,41,23,0,0,0,0.758274,1
0,0,0,1,6,361,28,27,0,1,4,0.472022,0
1,0,0,0,6,246,41,23,0,0,0,0.695907,1
0,0,0,1,6,291,40,25,0,1,1,0.380199,0
1,0,0,0,6,246,41,23,0,0,0,0.695907,1
1,0,0,0,6,179,38,31,0,0,0,0.694733,1
0,0,0,1,6,155,34,25,0,2,0,0.265096,0
1,0,0,0,6,246,41,23,0,0,0,0.695907,1
1,0,0,0,6,118,50,31,0,1,0,0.564313,1
1,0,0,0,6,235,37,29,1,1,1,0.749068,1
0,0,0,1,6,118,50,31,0,1,0,0.154137,0
1,0,0,0,6,118,50,31,0,1,0,0.564313,1
0,0,0,1,6,378,36,21,0,2,4,0.437458,0
1,0,0,0,6,179,38,31,0,0,0,0.694733,1
0,0,0,1,6,289,49,36,0,0,2,0.360244,0
0,0,0,1,6,225,28,24,0,1,2,0.254337,0
0,0,1,0,7,155,34,25,0,2,0,0.786219,1
1,0,0,0,7,118,50,31,0,1,0,0.575435,1
1,0,0,0,7,118,37,28,0,0,0,0.53488,1
0,0,0,1,7,118,37,28,0,0,0,0.13926,0
0,0,0,1,7,330,28,25,1,0,0,0.486727,0
0,0,1,0,7,179,30,19,1,0,0,0.597728,1
0,0,0,1,7,155,34,25,0,2,0,0.27403,0
1,0,0,0,7,330,28,25,1,0,0,0.870805,1
1,0,0,0,7,330,28,25,1,0,0,0.870805,1
0,0,0,1,7,157,29,22,0,0,0,0.161531,0
0,0,0,1,7,361,28,27,0,1,4,0.483342,0
0,0,0,1,7,289,33,30,0,2,1,0.590824,1
0,0,0,1,7,179,38,31,0,0,0,0.250964,0
0,0,1,0,7,289,33,30,0,2,1,0.933636,1
0,0,1,0,7,289,33,30,0,2,1,0.933636,1
0,0,0,0,7,260,36,23,0,4,0,0.398335,0
0,0,1,0,8,289,33,30,0,2,1,0.936392,1
0,0,1,0,8,157,29,22,0,0,0,0.662633,1
0,0,0,1,8,289,33,30,0,2,1,0.601747,1
0,0,1,0,8,228,58,22,0,2,1,0.718964,1
1,0,0,0,8,300,43,25,0,2,1,0.867478,1
1,0,0,0,8,300,43,25,0,2,1,0.867478,1
0,0,0,1,8,260,36,23,0,4,0,0.61585,1
0,0,0,1,8,289,33,30,0,2,1,0.601747,1
0,0,0,1,8,248,47,32,0,2,1,0.449361,0
1,0,0,0,8,268,33,25,1,0,0,0.777973,1
0,0,0,1,8,179,30,19,1,0,0,0.137624,0
1,0,0,0,8,118,50,31,0,1,0,0.586481,1
0,0,0,1,8,248,47,32,0,2,1,0.449361,0
0,0,0,1,8,235,37,29,1,1,1,0.31501,0
0,0,0,1,8,118,50,31,0,1,0,0.166344,0
0,0,1,0,8,235,37,29,1,1,1,0.817538,1
1,0,0,0,8,361,28,27,0,1,4,0.874343,1
1,0,0,0,8,184,27,21,0,0,0,0.644239,1
1,0,0,0,9,179,38,31,0,0,0,0.722815,1
0,0,0,1,9,179,38,31,0,0,0,0.268406,0
0,0,1,0,9,289,33,30,0,2,1,0.939042,1
0,0,0,0,9,235,43,38,0,1,0,0.334159,0
1,0,0,0,9,246,41,23,0,0,0,0.723924,1
0,0,0,1,9,291,40,25,0,1,1,0.412758,0
0,0,0,0,9,231,39,35,0,2,2,0.272978,0
0,0,0,0,9,291,32,23,0,0,0,0.234104,0
1,0,0,0,9,179,38,31,0,0,0,0.722815,1
1,0,0,0,9,246,41,23,0,0,0,0.723924,1
0,0,0,1,9,179,38,31,0,0,0,0.268406,0
0,0,0,1,9,291,40,25,0,1,1,0.412758,0
0,0,0,1,9,260,36,23,0,4,0,0.626527,1
0,0,0,1,9,235,43,38,0,1,0,0.537322,1
0,0,0,1,9,118,50,31,0,1,0,0.172732,0
0,0,0,0,9,235,43,38,0,1,0,0.334159,0
0,0,0,1,9,291,40,25,0,1,1,0.412758,0
1,0,0,0,9,291,40,25,0,1,1,0.83322,1
1,0,0,0,9,179,38,31,0,0,0,0.722815,1
0,0,0,1,10,289,33,30,0,2,1,0.623282,1
0,0,0,1,10,235,37,29,1,1,1,0.334913,0
0,0,0,1,10,289,33,30,0,2,1,0.623282,1
0,0,0,1,10,289,33,30,0,2,1,0.623282,1
0,0,0,0,10,118,50,31,0,1,0,0.0862735,0
0,0,0,0,10,248,47,32,0,2,1,0.278583,0
1,0,0,0,10,179,30,19,1,0,0,0.553984,1
1,0,0,0,10,118,37,28,0,0,0,0.568534,1
0,0,0,1,10,369,31,25,0,3,0,0.819044,1
0,0,0,1,10,179,38,31,0,0,0,0.277409,0
1,0,0,0,10,179,30,19,1,0,0,0.553984,1
0,0,0,0,10,235,43,38,0,1,0,0.344329,0
0,0,1,0,10,289,33,30,0,2,1,0.941588,1
0,0,0,1,10,260,36,23,0,4,0,0.637082,1
0,0,0,0,10,235,43,38,0,1,0,0.344329,0
0,0,0,1,10,235,43,38,0,1,0,0.548581,1
0,0,0,1,10,235,43,38,0,1,0,0.548581,1
0,0,0,1,10,118,50,31,0,1,0,0.179313,0
0,0,0,1,10,291,40,25,0,1,1,0.423798,0
0,0,0,1,10,179,30,19,1,0,0,0.148753,0
0,0,0,1,10,118,50,31,0,1,0,0.179313,0
1,0,0,0,10,361,28,27,0,1,4,0.88398,1
0,0,0,0,10,260,36,23,0,4,0,0.431366,0
0,0,0,0,10,291,40,25,0,1,1,0.241184,0
0,0,0,0,10,157,29,22,0,0,0,0.0870857,0
1,0,0,0,10,179,30,19,1,0,0,0.553984,1
1,0,0,0,10,179,30,19,1,0,0,0.553984,1
0,0,0,1,10,118,50,31,0,1,0,0.179313,0
1,0,0,0,11,118,37,28,0,0,0,0.579629,1
0,0,0,1,11,248,47,32,0,2,1,0.483226,0
1,0,0,0,11,179,38,31,0,0,0,0.740625,1
0,0,0,1,11,260,36,23,0,4,0,0.647507,1
0,0,0,1,11,291,40,25,0,1,1,0.434915,0
1,0,0,0,11,378,36,21,0,2,4,0.873977,1
1,0,0,0,11,155,34,25,0,2,0,0.762861,1
0,0,0,1,11,235,43,38,0,1,0,0.559792,1
0,0,0,0,11,330,28,25,1,0,0,0.329466,0
0,0,1,0,11,235,37,29,1,1,1,0.836974,1
1,0,0,0,11,118,37,28,0,0,0,0.579629,1
0,0,0,1,11,235,37,29,1,1,1,0.345095,0
0,0,0,1,11,179,38,31,0,0,0,0.286596,0
1,0,0,0,11,246,41,23,0,0,0,0.741688,1
1,0,0,0,11,291,40,25,0,1,1,0.845453,1
1,0,0,0,11,246,41,23,0,0,0,0.741688,1
0,0,0,1,11,179,38,31,0,0,0,0.286596,0
1,0,0,0,11,260,36,23,0,4,0,0.928859,1
0,1,0,0,11,260,36,23,0,4,0,0.672823,1
0,0,0,0,11,378,36,21,0,2,4,0.296586,0
0,0,0,0,11,279,39,24,0,2,0,0.332213,0
0,0,0,1,11,179,38,31,0,0,0,0.286596,0
1,0,0,0,12,225,28,24,0,1,2,0.76094,1
0,0,0,1,12,179,38,31,0,0,0,0.295962,0
0,0,0,1,12,179,38,31,0,0,0,0.295962,0
0,0,0,1,12,235,37,29,1,1,1,0.355421,0
0,0,0,1,12,118,50,31,0,1,0,0.193059,0
0,0,0,1,12,260,36,23,0,4,0,0.657793,1
1,0,0,0,12,246,41,23,0,0,0,0.750286,1
0,0,0,1,12,179,38,31,0,0,0,0.295962,0
0,0,0,1,12,179,38,31,0,0,0,0.295962,0
0,0,0,1,12,179,30,19,1,0,0,0.160614,0
0,0,0,1,12,118,37,28,0,0,0,0.168742,0
0,0,0,1,12,235,37,29,1,1,1,0.355421,0
0,0,0,1,12,179,38,31,0,0,0,0.295962,0
1,0,0,0,12,235,43,38,0,1,0,0.904382,1
1,0,0,0,12,235,37,29,1,1,1,0.796717,1
0,0,0,1,12,260,36,23,0,4,0,0.657793,1
0,0,0,1,12,157,29,22,0,0,0,0.194662,0
0,0,0,1,12,179,38,31,0,0,0,0.295962,0
0,0,1,0,12,289,33,30,0,2,1,0.946384,1
0,0,0,1,1,225,28,24,0,1,2,0.213746,0
0,0,1,0,1,118,37,28,0,0,0,0.545584,1
0,0,0,1,1,155,34,25,0,2,0,0.223302,0
1,0,0,0,1,235,37,29,1,1,1,0.704072,1
0,0,0,1,1,155,34,25,0,2,0,0.223302,0
0,0,0,1,1,289,33,30,0,2,1,0.523761,1
1,0,0,0,1,291,40,25,0,1,1,0.776539,1
0,0,0,1,1,235,43,38,0,1,0,0.446841,0
0,0,0,1,1,118,50,31,0,1,0,0.126818,0
0,0,0,1,1,179,38,31,0,0,0,0.20331,0
0,0,0,1,1,179,38,31,0,0,0,0.20331,0
0,0,0,1,2,118,37,28,0,0,0,0.114221,0
0,0,0,1,2,179,38,31,0,0,0,0.210758,0
1,0,0,0,2,225,28,24,0,1,2,0.669092,1
0,0,0,1,2,289,33,30,0,2,1,0.535066,1
0,0,0,1,2,260,36,23,0,4,0,0.549763,1
0,0,0,1,2,179,38,31,0,0,0,0.210758,0
0,0,0,1,2,179,38,31,0,0,0,0.210758,0
0,0,0,1,2,179,38,31,0,0,0,0.210758,0
1,0,0,0,2,179,38,31,0,0,0,0.654943,1
0,0,0,1,2,246,41,23,0,0,0,0.211682,0
0,0,0,1,2,179,38,31,0,0,0,0.210758,0
0,0,0,1,2,189,33,25,0,2,2,0.207503,0
0,0,0,1,2,179,38,31,0,0,0,0.210758,0
0,0,0,1,2,246,41,23,0,0,0,0.211682,0
0,0,0,1,2,291,40,25,0,1,1,0.33845,0
1,0,0,0,2,157,29,22,0,0,0,0.521846,1
0,0,0,1,2,179,38,31,0,0,0,0.210758,0
0,0,0,1,2,179,38,31,0,0,0,0.210758,0
1,0,0,0,2,246,41,23,0,0,0,0.656194,1
0,0,0,1,2,179,38,31,0,0,0,0.210758,0
0,0,0,1,2,179,38,31,0,0,0,0.210758,0
0,0,1,0,3,118,37,28,0,0,0,0.567976,1
0,0,1,0,3,246,41,23,0,0,0,0.732454,1
0,0,0,1,3,246,41,23,0,0,0,0.219353,0
0,0,0,1,3,260,36,23,0,4,0,0.560967,1
0,0,0,1,3,179,38,31,0,0,0,0.218405,0
0,0,0,1,3,235,37,29,1,1,1,0.268219,0
0,0,0,1,3,179,40,22,1,2,0,0.181766,0
0,0,0,1,3,378,36,21,0,2,4,0.404292,0
0,0,0,1,3,179,38,31,0,0,0,0.218405,0
0,0,0,1,3,361,28,27,0,1,4,0.438277,0
0,0,0,0,3,369,31,25,0,3,0,0.587406,1
0,0,1,0,3,235,37,29,1,1,1,0.781234,1
0,0,0,1,3,118,50,31,0,1,0,0.137212,0
1,0,0,0,3,118,50,31,0,1,0,0.530601,1
1,0,0,0,3,118,50,31,0,1,0,0.530601,1
0,0,0,0,3,235,37,29,1,1,1,0.136735,0
0,0,0,0,3,246,41,23,0,0,0,0.108279,0
0,0,0,0,3,118,50,31,0,1,0,0.0643056,0
0,0,0,1,3,179,38,31,0,0,0,0.218405,0
0,0,0,1,3,289,33,30,0,2,1,0.546334,1
0,0,1,0,3,260,36,23,0,4,0,0.925645,1
0,0,0,1,3,246,41,23,0,0,0,0.219353,0
0,0,0,1,4,179,38,31,0,0,0,0.22625,0
0,0,0,1,4,260,36,23,0,4,0,0.57211,1
0,0,0,1,4,330,28,25,1,0,0,0.452833,0
0,0,0,1,4,369,31,25,0,3,0,0.775151,1
0,0,0,1,4,248,47,32,0,2,1,0.40498,0
0,0,0,1,4,330,28,25,1,0,0,0.452833,0
0,0,0,1,4,179,38,31,0,0,0,0.22625,0
0,0,0,1,4,118,50,31,0,1,0,0.142673,0
1,0,0,0,4,118,50,31,0,1,0,0.541885,1
0,0,0,1,4,300,43,25,0,2,1,0.434416,0
0,0,0,1,4,260,36,23,0,4,0,0.57211,1
0,0,0,1,4,179,38,31,0,0,0,0.22625,0
1,0,0,0,4,118,37,28,0,0,0,0.500904,1
1,0,0,0,5,235,43,38,0,1,0,0.873167,1
0,0,0,1,5,248,47,32,0,2,1,0.41596,0
1,0,0,0,5,369,31,25,0,3,0,0.962464,1
0,0,0,1,5,179,30,19,1,0,0,0.12225,0
0,0,0,1,5,179,38,31,0,0,0,0.234292,0
0,0,0,1,5,361,28,27,0,1,4,0.460729,0
0,0,0,1,5,260,36,23,0,4,0,0.58318,1
1,0,0,0,5,179,40,22,1,2,0,0.633559,1
1,0,0,0,5,179,40,22,1,2,0,0.633559,1
0,0,1,0,5,228,58,22,0,2,1,0.690659,1
0,0,0,1,5,225,28,24,0,1,2,0.245828,0
1,0,0,0,5,330,28,25,1,0,0,0.860247,1
0,0,0,1,5,179,30,19,1,0,0,0.12225,0
0,0,0,1,5,118,37,28,0,0,0,0.128734,0
1,0,0,0,5,235,37,29,1,1,1,0.740442,1
0,0,0,1,5,179,30,19,1,0,0,0.12225,0
0,0,0,1,6,118,37,28,0,0,0,0.133909,0
0,0,0,1,6,179,38,31,0,0,0,0.242531,0
0,0,0,1,6,118,37,28,0,0,0,0.133909,0
0,0,0,1,6,225,28,24,0,1,2,0.254337,0
0,0,0,1,6,260,36,23,0,4,0,0.594167,1
0,0,0,0,6,179,38,31,0,0,0,0.121548,0
1,0,0,0,6,291,40,25,0,1,1,0.813436,1
0,0,0,1,6,179,38,31,0,0,0,0.242531,0
0,0,0,1,6,246,41,23,0,0,0,0.24355,0
0,0,0,1,6,179,38,31,0,0,0,0.242531,0
0,0,0,1,6,235,43,38,0,1,0,0.503359,1
0,0,0,1,6,179,38,31,0,0,0,0.242531,0
0,0,0,1,6,225,28,24,0,1,2,0.254337,0
0,0,0,1,6,118,50,31,0,1,0,0.154137,0
1,0,0,0,6,179,38,31,0,0,0,0.694733,1
0,0,1,0,6,179,30,19,1,0,0,0.586771,1
0,0,0,1,6,246,41,23,0,0,0,0.24355,0
1,0,0,0,6,330,28,25,1,0,0,0.865613,1
1,0,0,0,6,235,37,29,1,1,1,0.749068,1
0,0,0,1,7,179,30,19,1,0,0,0.132326,0
0,0,0,1,7,225,28,24,0,1,2,0.263038,0
1,0,0,0,7,260,36,23,0,4,0,0.915891,1
1,0,0,0,7,268,33,25,1,0,0,0.770036,1
0,0,0,1,7,330,28,25,1,0,0,0.486727,0
0,0,0,1,7,118,37,28,0,0,0,0.13926,0
0,0,0,1,7,260,36,23,0,4,0,0.60506,1
0,0,0,1,7,118,37,28,0,0,0,0.13926,0
0,1,0,0,7,300,43,25,0,2,1,0.496289,0
0,0,0,1,7,235,48,33,0,1,5,0.168853,0
0,0,0,1,7,246,41,23,0,0,0,0.252007,0
1,0,0,0,7,225,28,24,0,1,2,0.71727,1
0,0,0,1,7,179,38,31,0,0,0,0.250964,0
0,0,0,1,7,118,50,31,0,1,0,0.160147,0
0,0,0,1,7,361,28,27,0,1,4,0.483342,0
0,0,0,1,7,289,33,30,0,2,1,0.590824,1
0,0,0,1,7,235,43,38,0,1,0,0.514699,1
0,0,0,1,7,246,41,23,0,0,0,0.252007,0
